2023-09-11 13:11:45,774 INFO    StreamThr :9496 [internal.py:wandb_internal():86] W&B internal server running at pid: 9496, started at: 2023-09-11 13:11:45.763128
2023-09-11 13:11:45,776 DEBUG   HandlerThread:9496 [handler.py:handle_request():144] handle_request: status
2023-09-11 13:11:45,780 INFO    WriterThread:9496 [datastore.py:open_for_write():85] open: D:\Git\e17-4yp-Comprehensive-ECG-analysis-with-Deep-Learning-on-GPU-accelerators\python-scripts\wandb\run-20230911_131145-v9t6rr1y\run-v9t6rr1y.wandb
2023-09-11 13:11:45,783 DEBUG   SenderThread:9496 [sender.py:send():379] send: header
2023-09-11 13:11:45,826 DEBUG   SenderThread:9496 [sender.py:send():379] send: run
2023-09-11 13:11:46,685 INFO    SenderThread:9496 [dir_watcher.py:__init__():211] watching files in: D:\Git\e17-4yp-Comprehensive-ECG-analysis-with-Deep-Learning-on-GPU-accelerators\python-scripts\wandb\run-20230911_131145-v9t6rr1y\files
2023-09-11 13:11:46,685 INFO    SenderThread:9496 [sender.py:_start_run_threads():1121] run started: v9t6rr1y with start time 1694418105.765127
2023-09-11 13:11:46,685 DEBUG   SenderThread:9496 [sender.py:send_request():406] send_request: summary_record
2023-09-11 13:11:46,685 INFO    SenderThread:9496 [sender.py:_save_file():1375] saving file wandb-summary.json with policy end
2023-09-11 13:11:46,685 DEBUG   HandlerThread:9496 [handler.py:handle_request():144] handle_request: check_version
2023-09-11 13:11:46,685 DEBUG   SenderThread:9496 [sender.py:send_request():406] send_request: check_version
2023-09-11 13:11:47,504 DEBUG   HandlerThread:9496 [handler.py:handle_request():144] handle_request: run_start
2023-09-11 13:11:47,519 DEBUG   HandlerThread:9496 [system_info.py:__init__():31] System info init
2023-09-11 13:11:47,519 DEBUG   HandlerThread:9496 [system_info.py:__init__():46] System info init done
2023-09-11 13:11:47,519 INFO    HandlerThread:9496 [system_monitor.py:start():181] Starting system monitor
2023-09-11 13:11:47,519 INFO    SystemMonitor:9496 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-09-11 13:11:47,519 INFO    HandlerThread:9496 [system_monitor.py:probe():201] Collecting system info
2023-09-11 13:11:47,519 DEBUG   HandlerThread:9496 [system_info.py:probe():195] Probing system
2023-09-11 13:11:47,519 INFO    SystemMonitor:9496 [interfaces.py:start():190] Started cpu monitoring
2023-09-11 13:11:47,519 INFO    SystemMonitor:9496 [interfaces.py:start():190] Started disk monitoring
2023-09-11 13:11:47,519 INFO    SystemMonitor:9496 [interfaces.py:start():190] Started memory monitoring
2023-09-11 13:11:47,535 INFO    SystemMonitor:9496 [interfaces.py:start():190] Started network monitoring
2023-09-11 13:11:47,535 DEBUG   HandlerThread:9496 [system_info.py:_probe_git():180] Probing git
2023-09-11 13:11:47,644 DEBUG   HandlerThread:9496 [system_info.py:_probe_git():188] Probing git done
2023-09-11 13:11:47,644 DEBUG   HandlerThread:9496 [system_info.py:probe():240] Probing system done
